system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
812,0,71,71,18,
813,0,81,9,12,
814,18,21,72,18,
815,0,71,89,17,
816,0,41,100,2,
817,1,21,24,16,
818,44,22,6,12,
819,0,41,100,5,
820,0,71,38,22,
821,0,42,89,11,
822,0,42,84,12,
823,5,21,20,17,
824,0,41,96,7,
825,0,41,90,12,
826,0,41,100,4,
827,0,81,7,10,
828,0,42,93,10,
829,0,41,100,2,
830,0,81,1,6,
831,1,21,3,6,
832,0,41,100,3,
833,0,71,53,22,
834,0,41,74,15,
835,0,42,73,16,
836,0,52,88,12,
837,0,71,29,20,
838,0,81,6,9,
839,0,71,37,18,
840,0,41,91,10,
841,0,41,99,5,
842,0,81,74,17,
843,0,81,33,30,
844,14,21,55,19,
845,0,81,6,11,
846,0,81,26,18,
847,0,41,100,4,
848,29,22,22,15,
849,0,82,39,21,
850,0,81,9,12,
851,13,21,69,16,
852,0,71,19,17,
853,2,21,64,14,
854,0,41,97,8,
855,40,22,66,21,
856,0,42,96,8,
857,0,41,99,3,
858,0,41,100,3,
859,6,21,65,15,
860,64,23,3,9,
861,0,41,70,17,
862,0,81,19,18,
863,0,81,3,7,
864,0,41,99,8,
865,0,11,18,18,
866,0,81,36,20,
867,4,21,89,10,
868,0,41,100,1,
869,0,41,100,1,
870,0,41,100,3,
871,0,41,75,14,
872,0,81,10,14,
873,0,71,71,17,
874,0,42,94,8,
875,0,81,34,17,
876,0,81,3,7,
877,11,21,85,14,
878,22,22,58,17,
879,0,81,70,19,
880,0,81,34,20,
881,0,81,49,22,
882,2,21,80,13,
883,0,81,2,4,
884,0,42,51,20,
885,53,23,6,8,
886,0,41,99,5,
887,0,41,88,10,
888,11,21,85,13,
889,0,81,19,15,
890,0,41,90,12,
891,0,90,100,4,
892,0,41,100,1,
893,0,81,6,9,
894,0,81,15,12,
895,0,41,99,4,
896,0,81,10,14,
897,0,42,98,5,
898,0,42,99,4,
899,5,71,79,16,
900,0,41,96,6,
901,0,41,97,8,
902,0,42,93,9,
903,0,71,80,15,
904,0,81,26,18,
905,0,81,18,16,
906,0,81,20,17,
907,0,81,3,9,
908,2,21,80,19,
909,34,22,40,21,
910,0,41,64,17,
911,0,42,90,11,
912,0,41,100,1,
913,0,81,16,23,
